nom_de_la_commune,code_postal,ligne_5
ST SEURIN DE BOURG,33710,
GISSAC,12360,
OSNE LE VAL,52300,
MONTPELLIER,34070,
ENTREPIERRES,4200,VILHOSC
ST SULPICE DE FALEYRENS,33330,
LIVINHAC LE HAUT,12300,
PARNOY EN BASSIGNY,52400,PARNOT
MOULES ET BAUCELS,34190,
LA JAVIE,4000,ESCLANGON
ST SULPICE DE POMMIERS,33540,
MARCILLAC VALLON,12330,
PERRUSSE,52240,
MUDAISON,34130,
MAJASTRES,4270,
ST SULPICE ET CAMEYRAC,33450,
MAYRAN,12390,
POINSON LES GRANCEY,52160,
NEZIGNAN L EVEQUE,34120,
MALIJAI,4350,
ST TROJAN,33710,
MONTEILS,12200,
PONT LA VILLE,52120,
PEGAIROLLES DE L ESCALETTE,34700,
MALLEFOUGASSE AUGES,4230,
ST YZAN DE SOUDIAC,33920,
MONTEZIC,12460,
LE MONTSAUGEONNAIS,52190,MONTSAUGEON
PIERRERUE,34360,
MANE,4300,
ST YZANS DE MEDOC,33340,
MONTFRANC,12380,
RIVES DERVOISES,52220,PUELLEMONTIER
LE POUJOL SUR ORB,34600,
MANOSQUE,4100,
SALAUNES,33160,
FONDAMENTE,12540,
RENNEPONT,52370,
PRADES SUR VERNAZOBRE,34360,
MEAILLES,4240,
TABANAC,33550,
MURET LE CHATEAU,12330,
RIZAUCOURT BUCHEY,52330,
LE PUECH,34700,
MIRABEAU,4510,
TALAIS,33590,
NAUSSAC,12700,
ROCHEFORT SUR LA COTE,52700,
PUISSALICON,34480,
MONTJUSTIN,4110,
TARNES,33240,
OLS ET RINHODES,12260,
ROCHETAILLEE,52210,CHAMEROY
PUISSERGUIER,34620,
MONTSALIER,4150,
TOULENNE,33210,
ONET LE CHATEAU,12850,QUATRE SAISONS
SAINTS GEOSMES,52200,BALESMES SUR MARNE
LES RIVES,34520,
LA MURE ARGENS,4170,ARGENS
VALEYRAC,33340,
PALMAS D AVEYRON,12310,PALMAS
ST LOUP SUR AUJON,52210,
ROSIS,34610,
OPPEDETTE,4110,
VIGNONET,33330,
PEUX ET COUFFOULEUX,12360,
ST LOUP SUR AUJON,52210,ERISEUL
ST AUNES,34130,
PEIPIN,4200,
VILLANDRAUT,33730,
PIERREFICHE,12130,
ST MARTIN LES LANGRES,52200,
ST BAUZILLE DE LA SYLVE,34230,
PUIMOISSON,4410,
MARCHEPRIME,33380,
POUSTHOMY,12380,
SARREY,52140,
ST BAUZILLE DE PUTOIS,34190,
QUINSON,4500,
AGDE,34300,
PRADES SALARS,12290,
SEMILLY,52700,
ST ETIENNE DE GOURGAS,34700,
REDORTIERS,4150,
AGDE,34300,LE CAP D AGDE
RIEUPEYROUX,12240,
SEMOUTIERS MONTSAON,52000,
ST FELIX DE L HERAS,34520,
REVEST ST MARTIN,4230,
AIGNE,34210,
RIVIERE SUR TARN,12640,
SERQUEUX,52400,
ST GENIES DE VARENSAL,34610,PLAISANCE
RIEZ,4500,
AIGUES VIVES,34210,
RODEZ,12000,
SILVAROUVRES,52120,
ST HILAIRE DE BEAUVOIR,34160,
LA ROBINE SUR GALABRE,4000,
LES AIRES,34600,
LA ROUQUETTE,12200,
SOMMERECOURT,52150,
ST JEAN DE CUCULLES,34270,
LA ROBINE SUR GALABRE,4000,LAMBERT
ALIGNAN DU VENT,34290,
ROUSSENNAC,12220,
THONNANCE LES MOULINS,52230,BROUTHIERES
ST JEAN DE LA BLAQUIERE,34700,
LA ROBINE SUR GALABRE,4000,TANARON
BALARUC LE VIEUX,34540,
STE EULALIE DE CERNON,12230,
TORCENAY,52600,
ST JULIEN,34390,
ST JURS,4410,
BOUZIGUES,34140,
ARGENCES EN AUBRAC,12210,LACALM
TROISFONTAINES LA VILLE,52130,
ST JUST,34400,
ST LAURENT DU VERDON,4500,
BRIGNAC,34800,
ARGENCES EN AUBRAC,12210,LA TERRISSE
TROISFONTAINES LA VILLE,52130,VILLIERS AUX BOIS
ST MAURICE NAVACELLES,34190,
ST MARTIN DE BROMES,4800,
CAMPAGNAN,34230,
ARGENCES EN AUBRAC,12420,VITRAC EN VIADENE
VECQUEVILLE,52300,
ST MAURICE NAVACELLES,34520,
ST MARTIN LES EAUX,4300,
CANET,34800,
ST GENIEZ D OLT ET D AUBRAC,12130,AURELLE VERLAC
VESAIGNES SUR MARNE,52800,
SAUSSINES,34160,
SALIGNAC,4290,
CARLENCAS ET LEVAS,34600,
ST HIPPOLYTE,12140,
VESVRES SOUS CHALANCEY,52190,
SIRAN,34210,
SAUSSES,4320,
CAUSSE DE LA SELLE,34380,
ST JEAN D ALCAPIES,12250,
VIEVILLE,52310,
SORBS,34520,
SENEZ,4330,
CAUSSINIOJOULS,34600,
STE JULIETTE SUR VIAUR,12120,
VILLE EN BLAISOIS,52130,
USCLAS D HERAULT,34230,
SIGOYER,4200,
CELLES,34700,
ST LAURENT DE LEVEZOU,12620,
VILLEGUSIEN LE LAC,52190,ST MICHEL
VENDARGUES,34740,
SIMIANE LA ROTONDE,4150,VALSAINTES
CLERMONT L HERAULT,34800,
ST LAURENT D OLT,12560,
VILLIERS LE SEC,52000,
VIAS,34450,
SOURRIBES,4290,
COLOMBIERES SUR ORB,34390,
ST PARTHEM,12300,
VOISEY,52400,VAUX LA DOUCE
VIEUSSAN,34390,
THOARD,4380,
COLOMBIERS,34440,
SALMIECH,12120,
VONCOURT,52500,
VILLEMAGNE L ARGENTIERE,34600,
VALERNES,4200,
CORNEILHAN,34490,
CAUSSE ET DIEGE,12700,GELLE
VRAINCOURT,52310,
VILLENEUVE LES BEZIERS,34420,
VOLX,4130,
COURNONTERRAL,34660,
SANVENSA,12200,
AHUILLE,53940,
ACIGNE,35690,
L ARGENTIERE LA BESSEE,5120,
DIO ET VALQUIERES,34650,
SAUJAC,12260,
AMBRIERES LES VALLEES,53300,CIGNE
VAL COUESNON,35560,ANTRAIN
ASPREMONT,5140,
FONTANES,34270,
SEVERAC D AVEYRON,12150,BUZEINS
ANDOUILLE,53240,
BAGUER PICAN,35120,
ASPRES SUR BUECH,5140,
GALARGUES,34160,
SOULAGES BONNEVAL,12210,
ARON,53440,
BAULON,35580,
LA BATIE VIEILLE,5000,
GARRIGUES,34160,
SYLVANES,12360,
AVERTON,53700,
LA BAUSSAINE,35190,
BREZIERS,5190,
JACOU,34830,
TAURIAC DE CAMARES,12360,
BELGEARD,53440,
BEAUCE,35133,
BRIANCON,5100,
LAURET,34270,
THERONDELS,12600,
BOUCHAMPS LES CRAON,53800,
BILLE,35133,
CERVIERES,5100,
LAUROUX,34700,
ALLAUCH,13190,LE LOGIS NEUF
BRECE,53120,
BROUALAN,35120,
AUBESSAGNE,5500,LES COSTES
LIEURAN CABRIERES,34800,
AURIOL,13390,
BREE,53150,
BRUC SUR AFF,35550,
CREVOUX,5200,
LIGNAN SUR ORB,34490,
AURONS,13121,
CHAILLAND,53420,
BRUZ,35170,PONT REAN
FREISSINIERES,5310,
MARGON,34320,
BELCODENE,13720,
CHALONS DU MAINE,53470,
CESSON SEVIGNE,35510,
LA GRAVE,5320,
MAUGUIO,34130,
BOUC BEL AIR,13320,
CHAMPEON,53640,
LA CHAPELLE AUX FILTZMEENS,35190,
LA HAUTE BEAUME,5140,
MAUREILHAN,34370,
LA BOUILLADISSE,13720,
CHATELAIN,53200,
LA CHAPELLE CHAUSSEE,35630,
MONT DAUPHIN,5600,
MINERVE,34210,
LA BOUILLADISSE,13720,LE PIGEONNIER
COLOMBIERS DU PLESSIS,53120,
LA CHAPELLE DU LOU DU LAC,35360,LE LOU DU LAC
NEVACHE,5100,
MIREVAL,34110,
LA BOUILLADISSE,13720,LES BOYERS
COUDRAY,53200,
LA CHAPELLE ST AUBERT,35140,
LE POET,5300,
MONS,34390,
CHATEAURENARD,13160,
CRENNES SUR FRAUBEE,53700,
CHARTRES DE BRETAGNE,35131,
POLIGNY,5500,
MONTARNAUD,34570,
EGUILLES,13510,
LA CROIXILLE,53380,
CHATEAUBOURG,35220,
PUY SANIERES,5200,
MONTAUD,34160,
LA FARE LES OLIVIERS,13580,
EVRON,53600,CHATRES LA FORET
CHATILLON EN VENDELAIS,35210,
REALLON,5160,
MONTPELLIER,34090,
FOS SUR MER,13270,
GASTINES,53540,
CHAVAGNE,35310,
ROCHEBRUNE,5190,
MURVIEL LES BEZIERS,34490,
GARDANNE,13120,
GESVRES,53370,
LE CROUAIS,35290,
LA ROCHETTE,5000,
OCTON,34800,
GEMENOS,13420,
LA HAIE TRAVERSAINE,53300,
DINARD,35800,
ROUSSET,5190,
OLONZAC,34210,
GIGNAC LA NERTHE,13180,
LE HOUSSEAU BRETIGNOLLES,53110,BRETIGNOLLES LE MOULIN
DOMALAIN,35680,
ST AUBAN D OZE,5400,
PAILHES,34490,
GIGNAC LA NERTHE,13180,LAURE
JAVRON LES CHAPELLES,53250,
DOMLOUP,35410,
ST BONNET EN CHAMPSAUR,5500,BENEVENT ET CHARBILLAC
PARDAILHAN,34360,
GREASQUE,13850,
LASSAY LES CHATEAUX,53110,
ERCE PRES LIFFRE,35340,
ST CREPIN,5600,
PEZENAS,34120,
LAMBESC,13410,
LASSAY LES CHATEAUX,53110,MELLERAY LA VALLEE
FORGES LA FORET,35640,
LE DEVOLUY,5250,AGNIERES EN DEVOLUY
PIGNAN,34570,
MARTIGUES,13500,LA COURONNE CARRO
LAUNAY VILLIERS,53410,
GAEL,35290,
ST LAURENT DU CROS,5500,
POMEROLS,34810,
MAS BLANC DES ALPILLES,13103,
LEVARE,53120,
GENNES SUR SEICHE,35370,
ST MAURICE EN VALGODEMARD,5800,
LE POUGET,34230,
MOURIES,13890,
LA ROCHE NEUVILLE,53200,LOIGNE SUR MAYENNE
HIREL,35120,
ST VERAN,5350,
PUIMISSON,34480,
LA ROQUE D ANTHERON,13640,
LOUPFOUGERES,53700,
HIREL,35120,VILDE LA MARINE
SAVINES LE LAC,5160,
RESTINCLIERES,34160,
LE ROVE,13740,
MAISONCELLES DU MAINE,53170,
LAIGNELET,35133,
TRESCLEOUX,5700,
ROQUEBRUN,34460,
LE ROVE,13740,LE PIGEONNIER
MONTFLOURS,53240,
LALLEU,35320,
UPAIX,5300,
ENTRE VIGNES,34400,VERARGUES
ST CHAMAS,13250,
MONTSURS,53150,ST CENERE
LANRIGAN,35270,
VENTAVON,5300,
ST DREZERY,34160,
ST PAUL LES DURANCE,13115,
MOULAY,53100,
LOHEAC,35550,
ASPREMONT,6790,
ST ETIENNE D ALBAGNAN,34390,
ST SAVOURNIN,13119,
NEAU,53150,
LE LOROUX,35133,
AUVARE,6260,
ST ETIENNE ESTRECHOUX,34260,
TRETS,13530,CADENET
NIAFLES,53400,
LOUTEHEL,35330,
BEAUSOLEIL,6240,
ST GENIES DE FONTEDIT,34480,
VERNEGUES,13116,
LA PALLU,53140,
MAXENT,35380,
BEUIL,6470,
ST JEAN DE CORNIES,34160,
VITROLLES,13127,
QUELAINES ST GAULT,53360,
MONTAUTOUR,35210,
BIOT,6410,
ST JEAN DE FOS,34150,
MARSEILLE 06,13006,
RAVIGNY,53370,
MONTFORT SUR MEU,35160,
BONSON,6830,
ST NAZAIRE DE PEZAN,34400,
MARSEILLE 08,13008,LES GOUDES
RENNES EN GRENOUILLES,53110,
MONTHAULT,35420,
BOUYON,6510,
ST PONS DE THOMIERES,34220,
MARSEILLE 09,13009,
LE RIBAY,53640,
LA NOE BLANCHE,35470,
BRIANCONNET,6850,
ST PONS DE MAUCHIENS,34230,
MARSEILLE 09,13009,LES BAUMETTES
LA ROUAUDIERE,53390,
LA NOUAYE,35137,
CAP D AIL,6320,
ST SATURNIN DE LUCIAN,34725,
MARSEILLE 13,13013,
ST BRICE,53290,
PARTHENAY DE BRETAGNE,35850,
CHATEAUNEUF GRASSE,6740,
ST VINCENT DE BARBEYRARGUES,34730,
MARSEILLE 13,13013,ST MITRE
ST GERMAIN DE COULAMER,53700,
PLESDER,35720,
COLLONGUES,6910,
SAUVIAN,34410,
MARSEILLE 16,13016,
ST GERMAIN LE FOUILLOUX,53240,
PLEUGUENEUC,35720,
CONSEGUDES,6510,
SETE,34200,
MARSEILLE 16,13016,L ESTAQUE
ST MARTIN DU LIMET,53800,
POILLEY,35420,
CONTES,6390,
SOUBES,34700,
VALAMBRAY,14190,BRAY LA CAMPAGNE
VIMARTIN SUR ORTHE,53160,ST MARTIN DE CONNEE
POLIGNE,35320,
ENTRAUNES,6470,
LA TOUR SUR ORB,34260,
VALAMBRAY,14190,FIERVILLE BRAY
ST POIX,53540,
PRINCE,35210,
LES FERRES,6510,
VERRERIES DE MOUSSANS,34220,
VALAMBRAY,14540,CONTEVILLE
STE SUZANNE ET CHAMMES,53270,CHAMMES
RANNEE,35130,
FONTAN,6540,
VILLEVEYRAC,34560,
AURSEULLES,14240,ST GERMAIN D ECTOT
ST THOMAS DE COURCERIERS,53160,
REDON,35600,
GOURDON,6620,
VAL COUESNON,35460,ST OUEN LA ROUERIE
COLOMBY ANGUERNY,14610,ANGUERNY
SAULGES,53340,
RENAC,35660,
GRASSE,6130,PLASCASSIER
VAL COUESNON,35460,TREMBLAY
ANNEBAULT,14430,
SOUCE,53300,
ROMAGNE,35133,
ISOLA,6420,
ARBRISSEL,35130,
AUDRIEU,14250,
SOULGE SUR OUETTE,53210,NUILLE SUR OUETTE
ST BENOIT DES ONDES,35114,
LEVENS,6670,
AVAILLES SUR SEICHE,35130,
LES MONTS D AUNAY,14260,ROUCAMPS
THORIGNE EN CHARNIE,53270,
MAEN ROCH,35460,ST ETIENNE EN COGLES
LUCERAM,6440,
BAGUER MORVAN,35120,
MALHERBE SUR AJON,14260,BANNEVILLE SUR AJON
VIEUVY,53120,
ST DIDIER,35220,
MALAUSSENE,6710,
BAIN DE BRETAGNE,35470,
MALHERBE SUR AJON,14260,ST AGNAN LE MALHERBE
AFFLEVILLE,54800,
ST GANTON,35550,
OPIO,6650,
BLERUAIS,35750,
BASLY,14610,
ALLAIN,54170,
ST GERMAIN SUR ILLE,35250,
PEILLE,6440,LA GRAVE DE PEILLE
BOURG DES COMPTES,35890,
LA BAZOQUE,14490,
ALLAMONT,54800,
ST GREGOIRE,35760,
PEONE,6470,
BRETEIL,35160,
BEAUMONT EN AUGE,14950,
ALLONDRELLE LA MALMAISON,54260,
ST HILAIRE DES LANDES,35140,
REVEST LES ROCHES,6830,
BRIE,35150,
SOULEUVRE EN BOCAGE,14350,CARVILLE
ARMAUCOURT,54760,
ST JACQUES DE LA LANDE,35136,
ROQUESTERON,6910,
BRUZ,35170,
SOULEUVRE EN BOCAGE,14350,LA FERRIERE HARANG
ART SUR MEURTHE,54510,
RIVES DU COUESNON,35140,ST JEAN SUR COUESNON
LA ROQUETTE SUR VAR,6670,
CARDROC,35190,
SOULEUVRE EN BOCAGE,14350,LA GRAVERIE
AVRAINVILLE,54385,
ST JUST,35550,
ST ANTONIN,6260,
LA CHAPELLE JANSON,35133,
BERNESQ,14710,
BARISEY AU PLAIN,54170,
ST MALO,35400,PARAME
ST BLAISE,6670,
LA CHAPELLE DE BRAIN,35660,BRAIN SUR VILAINE
BIEVILLE BEUVILLE,14112,
BATHELEMONT,54370,
ST MALO,35400,ROTHENEUF
ST JEAN CAP FERRAT,6230,
CHATEAUGIRON,35410,ST AUBIN DU PAVAIL
BONNOEIL,14700,
BAUZEMONT,54370,
ST MALO,35400,ST SERVAN SUR MER
ST PAUL DE VENCE,6570,
CHATEAUNEUF D ILLE ET VILAINE,35430,
BOURGUEBUS,14540,
BECHAMPS,54800,
ST MARCAN,35120,
SOSPEL,6380,
CLAYES,35590,
THUE ET MUE,14250,BROUAY
BENNEY,54740,
STE MARIE,35600,
SPERACEDES,6530,
DINGE,35440,
BRUCOURT,14160,
BERNECOURT,54470,
ST MEDARD SUR ILLE,35250,
THEOULE SUR MER,6590,
DOL DE BRETAGNE,35120,
BUCEELS,14250,
BETTAINVILLERS,54640,
ST MEEN LE GRAND,35290,
THIERY,6710,
DOMAGNE,35113,CHAUMERE
CARTIGNY L EPINAY,14330,
BEUVEILLE,54620,
ST PERAN,35380,
UTELLE,6450,ST JEAN LA RIVIERE
LA DOMINELAIS,35390,
CAUMONT SUR AURE,14240,CAUMONT L EVENTE
BEUVEZIN,54115,
ST PERE MARC EN POULET,35430,
VALBONNE,6560,SOPHIA ANTIPOLIS
LE FERRE,35420,
CAUMONT SUR AURE,14240,LA VACQUERIE
BEUVILLERS,54560,
MESNIL ROC H,35720,ST PIERRE DE PLESGUEN
VALDEROURE,6750,
FOUGERES,35300,
CAUVILLE,14770,
BICQUELEY,54200,
MESNIL ROC H,35720,TRESSE
VENANSON,6450,
GAHARD,35490,
CLARBEC,14130,
BLENOD LES PONT A MOUSSON,54700,
ST SULPICE LA FORET,35250,
VENCE,6140,
LES IFFS,35630,
COLOMBIERS SUR SEULLES,14480,
BLENOD LES TOUL,54113,
ST SULPICE DES LANDES,35390,
VILLARS SUR VAR,6710,
IRODOUER,35850,
COURTONNE LA MEURDRAC,14100,
BOISMONT,54620,
ST UNIAC,35360,
VILLEFRANCHE SUR MER,6230,
JAVENE,35133,
CREULLY SUR SEULLES,14480,ST GABRIEL BRECY
BORVILLE,54290,
SENS DE BRETAGNE,35490,
LA BRIGUE,6430,
LANDAVRAN,35450,
CROCY,14620,
BOUVRON,54200,
THOURIE,35134,
ALISSAS,7210,
LANDEAN,35133,
CROISILLES,14220,
BRALLEVILLE,54740,
TRIMER,35190,
ARRAS SUR RHONE,7370,
LANDUJAN,35360,
CROUAY,14400,
BRATTE,54610,
AIGURANDE,36140,
BOFFRES,7440,
LILLEMER,35111,
CULEY LE PATRY,14220,
BROUVILLE,54120,
ARDENTES,36120,
CHAMPAGNE,7340,
LOURMAIS,35270,
CUVERVILLE,14840,
CHAMPENOUX,54280,
ARGENTON SUR CREUSE,36200,
CHARMES SUR RHONE,7800,
LOUVIGNE DE BAIS,35680,
DAMBLAINVILLE,14620,
CHARENCY VEZIN,54260,
ARPHEUILLES,36700,
CHASSIERS,7110,
MARCILLE ROBERT,35240,
DOUVRES LA DELIVRANDE,14440,TAILLEVILLE
CHAVIGNY,54230,
AZAY LE FERRON,36290,
CHATEAUNEUF DE VERNOUX,7240,
MARPIRE,35220,
BEAUFOUR DRUVAL,14340,
CHENEVIERES,54122,
BAZAIGES,36270,
CHAZEAUX,7110,
MEILLAC,35270,
DUCY STE MARGUERITE,14250,
CHOLOY MENILLOT,54200,
BELABRE,36370,
CORNAS,7130,
MINIAC MORVAN,35540,
ELLON,14250,
CLAYEURES,54290,
LA BERTHENOUX,36400,
COUX,7000,
MINIAC MORVAN,35540,VIEUX BOURG
EPRON,14610,
COLOMBEY LES BELLES,54170,
LE BLANC,36300,
LE CRESTET,7270,
MINIAC SOUS BECHEREL,35190,
ESPINS,14220,
COYVILLER,54210,
BONNEUIL,36310,
DARBRES,7170,
LE MINIHIC SUR RANCE,35870,
EVRECY,14210,
CRANTENOY,54740,
BOUESSE,36200,
DORNAS,7160,
MONDEVERT,35370,
FALAISE,14700,
CREZILLES,54113,
BRION,36110,
FELINES,7340,
LES PORTES DU COGLAIS,35460,COGLES
GENNEVILLE,14600,
CRION,54300,
LA CHAPELLE ORTHEMALE,36500,
GUILHERAND GRANGES,7500,
LES PORTES DU COGLAIS,35460,LA SELLE EN COGLES
GERROTS,14430,
CUTRY,54720,
CHEZELLES,36500,
ST JULIEN D INTRES,7310,INTRES
MONTREUIL SOUS PEROUSE,35500,
GOUSTRANVILLE,14430,
DIARVILLE,54930,
CLERE DU BOIS,36700,
ISSANLAS,7510,
MOUAZE,35250,
GRAINVILLE LANGANNERIE,14190,
DOMMARTIN SOUS AMANCE,54770,
CLION,36700,
ISSANLAS,7660,
MOUSSE,35130,
HERMANVILLE SUR MER,14880,
DOMPRIX,54490,
CREVANT,36140,
ISSARLES,7470,
MOUTIERS,35130,
HOTOT EN AUGE,14430,
DROUVILLE,54370,
CROZON SUR VAUVRE,36140,
JAUJAC,7380,
PAIMPONT,35380,
ISIGNY SUR MER,14330,CASTILLY
ECROUVES,54200,GRAND MENIL
CUZION,36190,
JOYEUSE,7260,
RENNES,35000,
JUAYE MONDAYE,14250,
EINVILLE AU JARD,54370,
DIORS,36130,
JUVINAS,7600,
RENNES,35200,
PONTS SUR SEULLES,14480,AMBLIE
EPLY,54610,
EGUZON CHANTOME,36270,
LE LAC D ISSARLES,7470,
RIMOU,35560,
PONTS SUR SEULLES,14480,TIERCEVILLE
ERROUVILLE,54680,
FONTGUENAND,36600,
LACHAPELLE SOUS AUBENAS,7200,
ROMAZY,35490,
LISIEUX,14100,
ESSEY LA COTE,54830,
FOUGEROLLES,36230,
LARGENTIERE,7110,
ROZ LANDRIEUX,35120,
LISON,14330,
EUVEZIN,54470,
FRANCILLON,36110,
MARIAC,7160,
SAINS,35610,
LIVAROT PAYS D AUGE,14140,BELLOU
FERRIERES,54210,
GARGILESSE DAMPIERRE,36190,
MERCUER,7200,
ST BROLADRE,35120,
LIVAROT PAYS D AUGE,14140,HEURTEVENT
FLEVILLE LIXIERES,54150,
ISSOUDUN,36100,
MONTSELGUES,7140,
ST CHRISTOPHE DE VALAINS,35140,
LIVAROT PAYS D AUGE,14140,LE MESNIL BACLEY
FONTENOY LA JOUTE,54122,
JEU LES BOIS,36120,
PAYZAC,7230,
ST ERBLON,35230,
LIVAROT PAYS D AUGE,14140,LE MESNIL DURAND
FRAIMBOIS,54300,
LACS,36400,
PONT DE LABEAUME,7380,
ST GEORGES DE REINTEMBAULT,35420,
LIVAROT PAYS D AUGE,14140,LIVAROT
FRANCHEVILLE,54200,
LEVROUX,36110,ST MARTIN DE LAMPS
PRIVAS,7000,
ST JOUAN DES GUERETS,35430,
LES LOGES SAULCES,14700,
GEZONCOURT,54380,
LUCAY LE MALE,36360,
ROCHECOLOMBE,7200,
ST MALO,35400,CHATEAU MALO
LOUCELLES,14250,
GONDREXON,54450,
MALICORNAY,36340,
ROCLES,7110,
ST MARC LE BLANC,35460,
LOUVAGNY,14170,
HABLAINVILLE,54120,
MARTIZAY,36220,
ROMPON,7250,
ST MAUGAN,35750,
LUC SUR MER,14530,
HAGEVILLE,54470,
MENETOU SUR NAHON,36210,
ST AGREVE,7320,
ST MELOIR DES ONDES,35350,
LE MARAIS LA CHAPELLE,14620,
HAIGNEVILLE,54290,
MERIGNY,36220,
ST ANDRE EN VIVARAIS,7690,
ST ONEN LA CHAPELLE,35290,
MERY BISSIERES EN AUGE,14370,BISSIERES
HAUCOURT MOULAINE,54860,ST CHARLES
MERS SUR INDRE,36230,
ST BARTHELEMY GROZON,7270,
ST SEGLIN,35330,
MEZIDON VALLEE D AUGE,14270,MAGNY LA CAMPAGNE
HERSERANGE,54440,
MIGNY,36260,
ST BARTHELEMY LE PLAIN,7300,
ST SULIAC,35430,
MEZIDON VALLEE D AUGE,14270,MONTEILLE
HOUDELMONT,54330,
MONTIPOURET,36230,
ST CIERGE SOUS LE CHEYLARD,7160,
ST THURIAL,35310,
MEZIDON VALLEE D AUGE,14270,PERCY EN AUGE
HOUDREVILLE,54330,
MOSNAY,36200,
ST CYR,7430,
SOUGEAL,35610,
MOSLES,14400,
IGNEY,54450,
NEONS SUR CREUSE,36220,
ST GENEST DE BEAUZON,7230,
TALENSAC,35160,
MOYAUX,14590,
JAILLON,54200,
NOHANT VIC,36400,
ST GINEYS EN COIRON,7580,
LE THEIL DE BRETAGNE,35240,
NORON L ABBAYE,14700,
JOLIVET,54300,
ORSENNES,36190,
ST JEAN CHAMBRE,7240,
TINTENIAC,35190,
NORON LA POTERIE,14490,
LANDECOURT,54360,
PARNAC,36170,
ST JEAN LE CENTENIER,7580,
TRESBOEUF,35320,
NOTRE DAME DE LIVAYE,14340,
LANEUVEVILLE AUX BOIS,54370,
PELLEVOISIN,36180,
ST JEURE D ANDAURE,7320,
LA VILLE ES NONAIS,35430,
OSMANVILLE,14230,
LANEUVEVILLE DEVANT BAYON,54740,
PERASSAY,36160,
ST JUST D ARDECHE,7700,
VITRE,35500,
OUILLY LE TESSON,14190,
LANFROICOURT,54760,
LE POINCONNET,36330,
ST LAURENT BAINS LAVAL D AURELLE,7590,LAVAL D AURELLE
AIZE,36150,
PERTHEVILLE NERS,14700,
LANTEFONTAINE,54150,
POMMIERS,36190,
ST MARCEL LES ANNONAY,7100,
BAGNEUX,36210,
PIERREFITTE EN AUGE,14130,
LARONXE,54950,
POULIGNY ST MARTIN,36160,
ST MARTIN D ARDECHE,7700,
BOMMIERS,36120,
PLANQUERY,14490,
LAXOU,54520,LAXOU CHAMPLEBOEUF
PREUILLY LA VILLE,36220,
ST MAURICE D ARDECHE,7200,
BRETAGNE,36110,
PONT L EVEQUE,14130,COUDRAY RABUT
LAY ST CHRISTOPHE,54690,
REBOURSIN,36150,
ST PIERRE ST JEAN,7140,ST JEAN DE POURCHARESSE
LA BUXERETTE,36140,
PREAUX BOCAGE,14210,
LEMAINVILLE,54740,
ST DENIS DE JOUHET,36230,
ST PIERREVILLE,7190,
CHAILLAC,36310,
BELLE VIE EN AUGE,14270,BIEVILLE EN AUGE
LEMENIL MITRY,54740,
ST FLORENTIN,36150,
ST VICTOR,7410,
LA CHAMPENOISE,36100,
BELLE VIE EN AUGE,14270,QUETIEVILLE
LENONCOURT,54110,
ST GEORGES SUR ARNON,36100,
SARRAS,7370,
CHASSIGNOLLES,36400,
RANVILLE,14860,
LEXY,54720,
ST MARCEL,36200,
THORRENC,7340,
LA CHATRE LANGLIN,36170,
REVIERS,14470,
LIVERDUN,54460,
ST PLANTAIRE,36190,
VALVIGNERES,7400,
CHAVIN,36200,
CASTINE EN PLAINE,14540,HUBERT FOLIE
LONGLAVILLE,54810,
SARZAY,36230,
VANOSC,7690,
DUNET,36310,
RUBERCY,14710,
LONGWY,54400,
TENDU,36200,
LES VANS,7140,
DUN LE POELIER,36210,
LE CASTELET,14540,GARCELLES SECQUEVILLE
LUCEY,54200,
VENDOEUVRES,36500,
VERNON,7260,
ETRECHET,36120,
ST ANDRE D HEBERTOT,14130,
MAILLY SUR SEILLE,54610,
VILLEGONGIS,36110,
VION,7610,
FEUSINES,36160,
ST AUBIN SUR MER,14750,
MALZEVILLE,54220,
VILLIERS,36290,
AIGLEMONT,8090,
FLERE LA RIVIERE,36700,
ST CONTEST,14280,
MANDRES AUX QUATRE TOURS,54470,
ANTOGNY LE TILLAC,37800,
ALLAND HUY ET SAUSSEUIL,8130,
GOURNAY,36230,
STE CROIX SUR MER,14480,
MERVILLER,54120,
AUTRECHE,37110,
AMBLY FLEURY,8130,
GUILLY,36150,
VALORBIQUET,14290,LA CHAPELLE YVON
MEXY,54135,
AVON LES ROCHES,37220,
ANTHENY,8260,
LANGE,36600,
VALORBIQUET,14290,ST CYR DU RONCERAY
MONTAUVILLE,54700,
BEAUMONT LOUESTAULT,37360,BEAUMONT LA RONCE
AOUSTE,8290,
LIGNEROLLES,36160,
VALORBIQUET,14290,ST PIERRE DE MAILLOC
MONTENOY,54760,
BLERE,37150,
ARDEUIL ET MONTFAUXELLES,8400,
LINGE,36220,
ST ETIENNE LA THILLAYE,14950,
MONT ST MARTIN,54350,
BOSSAY SUR CLAISE,37290,
ARTAISE LE VIVIER,8390,
LUREUIL,36220,
VAL DE VIE,14140,ST GERMAIN DE MONTGOMMERY
MORIVILLER,54830,
BUEIL EN TOURAINE,37370,
AUBRIVES,8320,
LUZERET,36800,
SEULLINE,14260,ST GEORGES D AUNAY
MOYEN,54118,
CANGEY,37530,
BALAN,8200,
LYS ST GEORGES,36230,
SEULLINE,14310,COULVAIN
NEUFMAISONS,54540,
CHANCEAUX SUR CHOISILLE,37390,
BARBY,8300,
MENETREOLS SOUS VATAN,36150,
ST GERMAIN LANGOT,14700,
NEUVES MAISONS,54230,
