nom_de_la_commune,code_postal,ligne_5
MONTJOUX,26220,
VIRIEU LE GRAND,1510,
VILLEBOIS LES PINS,5700,
MONTMAUR EN DIOIS,26150,
VIRIGNIN,1300,
AMFREVILLE SUR ITON,27400,
MONTOISON,26800,
ABBECOURT,2300,
CHAMBOIS,27240,THOMER LA SOGNE
MONTREAL LES SOURCES,26510,
ACHERY,2800,
LES BAUX DE BRETEUIL,27160,
MONTSEGUR SUR LAUZON,26130,
ANDELAIN,2800,
BAZINCOURT SUR EPTE,27140,
MORAS EN VALLOIRE,26210,
ANY MARTIN RIEUX,2500,
BEAUBRAY,27190,
MORNANS,26460,
ARTEMPS,2480,
BEAUFICEL EN LYONS,27480,
LA MOTTE CHALANCON,26470,
ATTILLY,2490,
MESNIL EN OUCHE,27330,EPINAY
ST JEAN DE GALAURE,26240,MUREILS
AUBIGNY AUX KAISNES,2590,
MESNIL EN OUCHE,27410,AJOU
MOURS ST EUSEBE,26540,
BAGNEUX,2290,
MESNIL EN OUCHE,27410,GRANCHAIN
OURCHES,26120,
BARENTON SUR SERRE,2270,
MESNIL EN OUCHE,27410,JONQUERETS DE LIVET
PIERRELONGUE,26170,
BAZOCHES ET ST THIBAUT,2220,ST THIBAUT
BEAUMONTEL,27170,
LES PILLES,26110,
BEAUVOIS EN VERMANDOIS,2590,
LE BEC HELLOUIN,27800,
PUY ST MARTIN,26450,
BELLENGLISE,2420,
BERENGEVILLE LA CAMPAGNE,27110,
REAUVILLE,26230,
BENAY,2440,
BEZU LA FORET,27480,
RECOUBEAU JANSAC,26310,JANSAC
BERRY AU BAC,2190,
LE BOIS HELLAIN,27260,
ROCHEBAUDIN,26160,
BERTAUCOURT EPOURDON,2800,
BOIS JEROME ST OUEN,27620,
ROCHE ST SECRET BECONNE,26770,
BESME,2300,
LA BOISSIERE,27220,
ROMANS SUR ISERE,26100,
BEUGNEUX,2210,
BONCOURT,27120,
ROTTIER,26470,
BICHANCOURT,2300,
LA BONNEVILLE SUR ITON,27190,
ROUSSIEUX,26510,
BIEUXY,2290,
THENOUVILLE,27290,TOUVILLE SUR MONTFORT
ST AUBAN SUR L OUVEZE,26170,
BOIS LES PARGNY,2270,
THENOUVILLE,27520,THEILLEMENT
ST AVIT,26330,
BOUCONVILLE VAUCLAIR,2860,
BOSQUENTIN,27480,
ST BARTHELEMY DE VALS,26240,
BOURESCHES,2400,
BOSROBERT,27800,
STE CROIX,26150,
BRISSY HAMEGICOURT,2240,
LES BOTTEREAUX,27250,
ST JULIEN EN VERCORS,26420,
BRUMETZ,2810,
LES BOTTEREAUX,27250,VAUX SUR RISLE
ST MARCEL LES SAUZET,26740,
BRUNEHAMEL,2360,
LE BOULAY MORIN,27930,
ST PANTALEON LES VIGNES,26770,
BUCY LE LONG,2880,
BOULLEVILLE,27210,
ST SAUVEUR GOUVERNET,26110,
CAILLOUEL CREPIGNY,2300,
BOUQUETOT,27310,
SAUZET,26740,
CAMELIN,2300,LOMBRAY
GRAND BOURGTHEROULDE,27520,BOSC BENARD COMMIN
SOUSPIERRE,26160,
CERNY EN LAONNOIS,2860,
BOURNAINVILLE FAVEROLLES,27230,
